mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
2168690,168,46,32,5,20,true,false,0,true,杨裕兴（五道口店）
632651,402,46,35,3,25,false,false,0,false,清真过桥米线
2325441,352,45,50,3,26,false,false,0,false,食侠客黄焖鸡（中关村店）
2397197,9,0,55,3,0,false,false,1,false,百味厨房
706347,83,45,30,3,20,true,false,0,false,京川婆婆骨汤麻辣烫（中关村店）
2390298,1,0,55,3,15,false,false,1,false,The Feeler（弹丸江湖）
2170579,65,44,38,3,15,false,false,0,false,黄焖鸡米饭（畅春园）
1595359,1032,48,34,3,15,false,false,0,false,和万兴
12776,713,45,50,5,45,false,false,0,false,小家餐厅（六道口店）
797459,24,47,35,3,20,false,false,0,false,串串先生（中关村店）
2205624,268,43,34,4,0,false,false,0,false,拌饭王国（五道口店）
2144643,55,45,32,6,20,false,false,1,true,潮牛·巴比伦简餐（中关村店）
1301460,95,45,30,6,20,false,false,0,true,重庆嘿小面
897834,123,45,30,3,20,false,false,0,false,老大同刀削面
109095,104,48,68,10,30,true,false,0,false,人民公社（中关村店）
1863188,54,34,66,3,20,false,false,0,false,三人行麻辣烫
430751,1374,49,55,7,0,false,false,0,false,奔跑吧麻辣香锅外卖
1603220,200,44,31,4,0,false,false,0,false,王妈面庄（原渝筷小馆）
1633087,1501,45,51,4,20,true,false,0,false,麦堡王（中关村店）
1030649,118,47,30,7,20,false,false,0,true,麻辣蜀乡
264126,1123,46,50,49,38,true,false,0,false,张亮麻辣烫(志新桥店)
1060863,173,47,70,2,38,false,false,0,false,口口香疯狂炸鸡
866429,57,43,36,2,20,true,false,0,false,满座儿(中科店)
300082,486,47,30,3,15,true,false,0,false,烤肉拌饭（中关村一桥店）
2142949,304,41,34,3,0,false,false,0,false,徐记黄焖鸡麻辣烫（中关村店）
801498,64,47,57,6,20,false,false,0,true,遇叶（五道口店）
897500,61,50,35,4,20,false,false,0,false,中国兰州拉面清真（保福寺店）
627881,124,48,30,5,20,true,false,0,true,筷乐家园（中关村店）
1735901,188,48,50,6,68,false,false,0,false,欢乐麻辣香锅（动物园店）
1550509,3688,46,35,3,0,true,false,0,false,贡茶（五道口店）
2031999,40,46,38,3,20,true,false,0,false,bzo!（中关村店）
600144,333,47,30,5,20,true,false,0,true,庆丰包子铺（苏州街店）
514025,19,46,51,8,20,true,false,0,true,香鼎坊滋味烧菜（人大店）
2222987,551,43,36,3,0,false,false,0,false,晋味小厨（中关村店）
372997,127,39,30,3,0,false,false,0,false,张亮麻辣烫（苏州街店）
2105419,660,44,39,3,20,false,false,0,false,杭州小笼包(中关村店)
